日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%),機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2013年01月,台南市,231647913,0.4874,169536695,0.3567,50132969,0.1055,23941265,0.0504,475258842,7.3033381452961
2013年01月,高雄市,392274496,0.4885,305541223,0.3805,85304171,0.1062,19953090,0.0248,803072980,12.340882504382
2013年01月,宜蘭縣,52392890,0.4767,39907227,0.3631,12999522,0.1183,4603288,0.0419,109902927,1.6888864932234
2013年01月,新竹縣,64115863,0.5221,45265587,0.3686,12244322,0.0997,1168667,0.0095,122794439,1.8869913216237
2013年01月,苗栗縣,64404232,0.5327,40202885,0.3325,14795573,0.1224,1491407,0.0123,120894097,1.8577886240804
2013年01月,彰化縣,145354611,0.4971,85619633,0.2928,31062488,0.1062,30372011,0.1039,292408743,4.4934670079636
2013年01月,南投縣,51681042,0.4922,34185817,0.3256,12342873,0.1176,6786336,0.0646,104996068,1.6134824242376
2013年01月,雲林縣,79770115,0.4894,42771195,0.2624,18292179,0.1122,22151421,0.1359,162984910,2.5046012932689
2013年01月,嘉義縣,56807044,0.5034,24899687,0.2206,16236300,0.1439,14905012,0.1321,112848043,1.7341443109099
2013年01月,屏東縣,106358667,0.4553,53538568,0.2292,22158323,0.0949,51528784,0.2206,233584342,3.5895080413307
2013年01月,台東縣,22723479,0.4612,16180630,0.3284,8088491,0.1642,2280483,0.0463,49273083,0.75718314907278
2013年01月,花蓮縣,37300262,0.4219,34737304,0.393,14246589,0.1612,2116279,0.0239,88400434,1.3584560762216
2013年01月,基隆市,43236636,0.5238,29750779,0.3604,9543053,0.1156,11001,0.0001,82541469,1.2684209231745
2013年01月,新竹市,65031546,0.426,66687278,0.4369,20350613,0.1333,575554,0.0038,152644991,2.3457069852026
2013年01月,嘉義市,33938808,0.4554,32485114,0.4359,7548738,0.1013,546536,0.0073,74519196,1.1451420544083
2013年01月,澎湖縣,11514789,0.5084,6915905,0.3054,3869208,0.1708,348150,0.0154,22648052,0.34803430777254
2013年01月,金門縣,6531196,0.4568,3778170,0.2643,3857057,0.2698,130027,0.0091,14296450,0.21969461564972
2013年01月,連江縣,933778,0.2987,1223325,0.3913,950152,0.3039,19389,0.0062,3126644,0.048047372029664
